Station;Latitude;Longitude;Entry Weekday;Entry Saturday;Entry Sunday;Exit Weekday;Exit Saturday;Exit Sunday;Annual Entry+Exit (million);Annual Entry;Annual Exit;
Great Portland Street;51,523789;-0,143947;13175;3809;2705;12569;3282;2114;7,17;3,59;3,58;
Green Park;51,506761;-0,142463;48693;28229;18835;54351;34000;22149;31,72;14,31;17,42;
Greenford;51,54198;-0,345864;6477;4445;2651;6206;3955;2474;3,95;1,90;2,05;
Gunnersbury;51,491863;-0,27515;8319;3310;2004;6907;2779;1805;4,39;2,25;2,14;
Hainault;51,602845;0,094123;4976;2855;1786;4720;2651;1775;2,95;1,43;1,52;
Hammersmith (Dis);51,49182;-0,222847;46718;33264;21791;44372;31209;21308;28,94;13,98;14,96;
Hammersmith (H&C);51,493483;-0,224626;15230;8757;6142;13701;8517;5239;8,89;4,38;4,51;
Hampstead;51,556543;-0,178;6446;5221;3922;6545;5242;4252;4,31;2,06;2,25;
Hanger Lane;51,530072;-0,292982;5698;3554;2405;5124;3251;2180;3,36;1,66;1,70;
Harlesden;51,536258;-0,257481;3800;2137;1331;3731;2084;1301;2,28;1,09;1,19;
Harrow and Wealdstone;51,592595;-0,334238;7494;4684;3026;6959;4209;2901;4,47;2,19;2,28;
Harrow-on-the-Hill;51,579388;-0,336987;13833;8918;5554;14543;8750;5492;8,75;4,09;4,66;
Hatton Cross;51,466685;-0,423366;4646;3419;2653;4381;3224;2433;2,93;1,44;1,49;
Heathrow Terminal 4;51,45978;-0,447715;3492;4047;4247;3012;3328;3047;2,46;1,31;1,15;
Heathrow Terminal 5;51,470025;-0,490633;4698;4535;5479;4144;3810;3676;3,21;1,74;1,47;
Heathrow Terminals 123;51,471289;-0,452393;11261;12379;12053;9618;9945;9600;7,72;4,07;3,65;
Hendon Central;51,583133;-0,22672;11932;6889;4906;11065;5677;4286;7,01;3,51;3,50;
High Barnet;51,651688;-0,194151;5279;3611;1855;4930;3099;1699;3,14;1,51;1,63;
High Street Kensington;51,500729;-0,191552;18689;12336;9326;19255;12941;8976;11,99;5,70;6,29;
Highbury and Islington;51,546496;-0,104068;25120;21451;11357;24801;22198;11668;16,26;7,45;8,81;
Highgate;51,577647;-0,14692;8248;5524;3450;7729;4773;3373;4,98;2,43;2,55;
Hillingdon;51,553778;-0,449884;2418;1376;827;2188;1270;819;1,40;0,68;0,72;
Holborn;51,517236;-0,119826;51012;28625;16956;55164;31070;17194;31,98;14,61;17,37;
Holland Park;51,507147;-0,206543;5565;3608;2517;5164;3403;2404;3,37;1,65;1,72;
Holloway Road;51,552816;-0,112921;12946;9617;4869;12646;9792;4723;8,05;3,71;4,34;
Hornchurch;51,554355;0,218941;3320;1715;844;3366;1822;879;1,98;0,91;1,07;
Hounslow Central;51,470926;-0,365944;6251;4184;3302;5960;4094;3213;3,90;1,92;1,99;
Hounslow East;51,473708;-0,355261;6437;5042;3818;6681;4740;3667;4,27;2,06;2,21;
Hounslow West;51,473106;-0,385693;5015;3848;3111;4601;3626;2960;3,18;1,58;1,60;
Hyde Park Corner;51,502584;-0,15246;8184;8405;7099;8887;8891;7325;6,07;2,88;3,19;
Ickenham;51,560825;-0,441565;1672;849;442;1653;838;464;0,98;0,46;0,52;
Kennington;51,488662;-0,105056;7120;6023;3877;6579;5468;3786;4,52;2,19;2,33;
Kensal Green;51,530524;-0,224699;3924;2899;1973;3292;2361;1756;2,32;1,18;1,14;
Kensington (Olympia);51,49788;-0,210365;1433;6099;3535;1403;5527;3512;1,74;0,80;0,94;
Kentish Town;51,55001;-0,140457;12078;7821;4389;11532;6696;3855;7,21;3,48;3,73;
Kenton;51,581496;-0,315202;3192;2179;1307;3011;2013;1316;1,94;0,93;1,01;
Kew Gardens;51,476789;-0,285367;5015;4172;2556;4616;3393;2551;3,13;1,54;1,59;
Kilburn;51,546944;-0,204618;11954;8841;6180;11472;7979;6024;7,52;3,67;3,85;
Kilburn Park;51,535136;-0,193952;5331;4526;3111;5130;4163;2945;3,46;1,67;1,78;
Kings Cross St, Pancras;51,530312;-0,123858;116766;94473;74618;116203;90893;69961;77,11;37,52;39,59;
Kingsbury;51,584877;-0,278587;5822;3186;2281;5506;2897;2122;3,44;1,70;1,74;
Knightsbridge;51,501355;-0,16065;29626;33458;22591;29001;31720;19398;20,70;9,86;10,84;
Ladbroke Grove;51,517211;-0,210184;8405;7607;3608;7722;4748;2609;5,09;2,52;2,57;
Lambeth North;51,49913;-0,111754;5494;4551;3302;5034;4370;2973;3,50;1,71;1,79;
Lancaster Gate;51,511891;-0,175416;10308;8195;6493;9842;7853;6136;6,68;3,28;3,40;
Latimer Road;51,513958;-0,217445;2878;1607;956;2800;1450;861;1,70;0,82;0,88;
Leicester Square;51,511291;-0,128228;53002;67564;37470;54956;68479;36972;38,78;17,56;21,22;
Leyton;51,558132;-0,006451;20552;17779;12078;19477;16050;11701;13,29;6,46;6,83;
Leytonstone;51,568522;0,009155;16496;12726;8520;15883;11624;8340;10,45;5,06;5,39;
Liverpool Street;51,517598;-0,082235;104252;50855;41623;107346;50869;40095;63,65;30,85;32,79;
London Bridge;51,504674;-0,085991;103067;78259;50067;101013;74978;48979;65,44;31,18;34,26;
Loughton;51,64157;0,055294;4851;3125;1585;5000;3014;1603;3,00;1,39;1,61;
Maida Vale;51,529995;-0,185418;4961;3564;2373;4448;2988;2251;2,99;1,49;1,50;
Manor House;51,570747;-0,095671;14602;11643;8681;13471;9916;8107;9,21;4,60;4,61;
Mansion House;51,512092;-0,094183;13164;4243;2862;13204;3840;2643;7,42;3,62;3,80;
Marble Arch;51,513966;-0,158557;25632;25303;18234;23325;22376;15794;16,87;8,33;8,55;
Marylebone;51,522397;-0,163478;18528;11320;6492;18849;11315;6519;11,40;5,32;6,08;
Mile End;51,525311;-0,032652;22712;17821;11668;20564;15145;11243;14,01;6,92;7,10;
Mill Hill East;51,608317;-0,209881;1642;984;600;1930;1147;684;1,09;0,48;0,61;
Moor Park;51,629931;-0,432899;1481;567;317;1395;560;331;0,82;0,40;0,43;
Moorgate;51,518437;-0,089003;39161;5869;3617;40454;6338;4009;21,23;10,19;11,03;
Morden;51,402186;-0,194838;11917;7702;5264;11065;7068;5119;7,20;3,53;3,67;
Mornington Crescent;51,534362;-0,13873;6714;3897;10568;5889;3222;2032;4,30;2,67;1,64;
Neasden;51,554628;-0,250101;4645;2612;1812;4159;2466;1747;2,70;1,34;1,36;
Newbury Park;51,575638;0,090318;7100;4691;3154;5242;3980;2693;3,92;2,03;1,89;
North Acton;51,523432;-0,259715;7817;4421;3127;7388;4023;2902;4,64;2,29;2,36;
North Ealing;51,517622;-0,288979;1638;959;582;1417;891;567;0,94;0,46;0,47;
North Greenwich;51,500255;0,003601;23982;18661;12982;23714;19708;14790;15,70;7,42;8,28;
North Harrow;51,584631;-0,362619;2561;1123;602;2347;1021;589;1,42;0,70;0,73;
North Wembley;51,562396;-0,303934;2593;1768;1158;2407;1578;1107;1,57;0,77;0,80;
Northfields;51,500492;-0,31505;6220;3880;2668;5969;3561;2731;3,79;1,85;1,94;
Northolt;51,548213;-0,368426;6887;5032;3367;6540;4544;3142;4,28;2,08;2,20;
Northwick Park;51,578509;-0,318185;6237;2624;1687;6116;2295;1650;3,58;1,75;1,83;
